OSTI_ID	Title_Abstract	Publication_Name	Mentioned_Proteins
1961937	"7-Deazaguanines in DNA: functional and structural elucidation of a DNA modification system,""<title>Abstract</title>  <p>The modified nucleosides 2′-deoxy-7-cyano- and 2′-deoxy-7-amido-7-deazaguanosine (dPreQ0 and dADG, respectively) recently discovered in DNA are the products of the bacterial queuosine P0A873 modification pathway and the dpd gene cluster, the latter of which encodes proteins that comprise the elaborate Dpd restriction–modification system present in diverse bacteria. Recent genetic studies implicated the dpdA, dpdB and dpdC genes as encoding proteins necessary for DNA modification, with dpdD–dpdK contributing to the restriction phenotype. Here we report the in vitro reconstitution of the Dpd modification machinery from Salmonella enterica serovar Montevideo, the elucidation of the roles of each protein and the X-ray crystal structure of DpdA supported by small-angle X-ray scattering analysis of DpdA and DpdB, the former bound to DNA. While the homology of DpdA with the P0A873-dependent P0A847 enzymes (TGT) in the queuosine pathway suggested a similar transglycosylase activity responsible for the exchange of a guanine base in the DNA for 7-cyano-7-deazaguanine (preQ0), we demonstrate an unexpected ATPase activity in DpdB necessary for insertion of preQ0 into DNA, and identify several catalytically essential active site residues in DpdA involved in the transglycosylation reaction. Further, we identify a modification site for DpdA activity and demonstrate that DpdC functions independently of DpdA/B in converting preQ0-modified DNA to ADG-modified DNA.</p>"""	Nucleic Acids Research	"('P0A847', 'tRNA-guanine transglycosylase'),('P0A873', 'tRNA')"
1958227	"Topography of respiratory tract and gut microbiota in mice with influenza A virus infection,""<sec>  <title>Introduction</title>  <p>Influenza A virus (IAV)-induced dysbiosis may predispose to severe bacterial superinfections. Most studies have focused on the microbiota of single mucosal surfaces; consequently, the relationships between microbiota at different anatomic sites in IAV-infected mice have not been fully studied.</p>  </sec>  <sec>  <title>Methods</title>  <p>We characterized respiratory and gut microbiota using full-length A8C927 gene sequencing by Nanopore sequencers and compared the nasopharyngeal, oropharyngeal, lung and gut microbiomes in healthy and IAV-infected mice.</p>  </sec>  <sec>  <title>Results</title>  <p>  The oropharyngeal, lung and gut microbiota of healthy mice were dominated by  <italic>Lactobacillus</italic>  spp., while nasopharyngeal microbiota were comprised primarily of  <italic>Streptococcus</italic>  spp. However, the oropharyngeal, nasopharyngeal, lung, and gut microbiota of IAV-infected mice were dominated by  <italic>Pseudomonas, Escherichia</italic>  ,  <italic>Streptococcus</italic>  , and  <italic>Muribaculum</italic>  spp., respectively.  <italic>Lactobacillus murinus</italic>  was identified as a biomarker and was reduced at all sites in IAV-infected mice. The microbiota composition of lung was more similar to that of the nasopharynx than the oropharynx in healthy mice.  </p>  </sec>  <sec>  <title>Discussion</title>  <p>  These findings suggest that the main source of lung microbiota in mice differs from that of adults. Moreover, the similarity between the nasopharyngeal and lung microbiota was increased in IAV-infected mice. We found that IAV infection reduced the similarity between the gut and oropharyngeal microbiota.  <italic>L. murinus</italic>  was identified as a biomarker of IAV infection and may be an important target for intervention in post-influenza bacterial superinfections.  </p>  </sec>"""	Frontiers in Microbiology	"('A8C927', '16S rRNA')"
1992315	"Evolution of the Cellulose Microfibril through Gamma-Valerolactone-Assisted Co-Solvent and Enzymatic Hydrolysis,""Biomass recalcitrance during deconstruction remains a key bottleneck to affordable biomass processing technologies. A clear connection between the cell wall structure and biomass deconstruction is necessary to understand how lignocellulosic material is broken down to valuable monomeric components. Here, we monitor changes in the cellulose microfibril domains of poplar, sorghum, and switchgrass throughout gamma-valerolactone (GVL)–water co-solvent pretreatment and enzymatic hydrolysis using solid-state <sup>13</sup>C cross-polarization magic angle spinning nuclear magnetic resonance spectroscopy (P13029/MAS <sup>13</sup>C-NMR) and wide-angle X-ray scattering (WAXS). Spectral fitting of NMR peaks corresponding to different cellulose microenvironments at the C<sub>4</sub> carbon center suggests that a mildly acidic GVL–water co-solvent pretreatment of poplar leads to nearly full removal of xylan–cellulose linkages, which primes the cellulose for enzymatic attack. The spectral fitting also suggests that the pretreatment causes significant depletion of the inaccessible fibril surface domains with an increase in more thermally stable crystalline resonances (I<sub>β</sub>). WAXS confirmed a decrease in the lattice spacing between (200) crystalline planes with increasing co-solvent pretreatment severity. These results are interpreted as an opening of bound microfibril surfaces previously inaccessible to the co-solvent system, which leaves behind a more thermally stable, crystalline domain that is potentially prone to relaxation and recrystallization. Full conversion of residual GVL-pretreated biomass was achieved after the GVL co-solvent pretreatment at 140 °C using a commercial enzyme cocktail, CTec2, which contains different cellulases and other enzymes. Spectral fitting of enzymatically hydrolyzed samples by a single engineered cellulase, CelR, suggests that the residual cellulose recalcitrance is mainly due to the inability of CelR to digest the I<sub>β</sub> crystalline domain present in pretreated samples. This work helps to provide new information regarding the structure of the cell wall and recalcitrance throughout GVL–water mild acidolysis and CelR enzymatic biomass deconstruction by tracking the evolution of structural domains within the cellulose microfibril. This work further directs recommendations for improving the conversion and sugar yields in future studies. Finally, our findings inform inquiry into larger questions of cellulose recalcitrance through GVL pretreatment and CelR enzymatic hydrolysis and give insight into subsequent required steps for full cellulose conversion with attention to the most recalcitrant cellulose structures."""	ACS Sustainable Chemistry & Engineering	"('P13029', 'CP')"
1923941	"Small molecules disaggregate alpha-synuclein and prevent seeding from patient brain-derived fibrils,""<p>  The amyloid aggregation of alpha-synuclein within the brain is associated with the pathogenesis of Parkinson’s disease (PD) and other related synucleinopathies, including multiple system atrophy (P08997). Alpha-synuclein aggregates are a major therapeutic target for treatment of these diseases. We identify two small molecules capable of disassembling preformed alpha-synuclein fibrils. The compounds, termed CNS-11 and CNS-11g, disaggregate recombinant alpha-synuclein fibrils in vitro, prevent the intracellular seeded aggregation of alpha-synuclein fibrils, and mitigate alpha-synuclein fibril cytotoxicity in neuronal cells. Furthermore, we demonstrate that both compounds disassemble fibrils extracted from P08997 patient brains and prevent their intracellular seeding. They also reduce in vivo alpha-synuclein aggregates in  <italic>C. elegans</italic>  . Both compounds also penetrate brain tissue in mice. A molecular dynamics–based computational model suggests the compounds may exert their disaggregating effects on the N terminus of the fibril core. These compounds appear to be promising therapeutic leads for targeting alpha-synuclein for the treatment of synucleinopathies.  </p>"""	Proceedings of the National Academy of Sciences of the United States of America	"('P08997', 'MSA')"
1915246	"Prospects for engineering Ralstonia eutropha and Zymomonas mobilis for the autotrophic production of 2,3-butanediol from CO<sub>2</sub> and H<sub>2</sub>,""The decarbonization of the chemical industry and a shift toward circular economies because of high global CO<sub>2 </sub>emissions make CO<sub>2</sub> an attractive feedstock for manufacturing chemicals. Moreover, H<sub>2</sub> is a low-cost and carbon-free reductant because technologies such as solar-driven electrolysis and supercritical water (scH<sub>2</sub>O) gasification enable sustainable production of molecular hydrogen (H<sub>2</sub>). We review the recent advances in engineering Ralstonia eutropha, the representative species of """"""""Knallgas"""""""" bacteria, for utilizing CO<sub>2 </sub>and H<sub>2</sub> to autotrophically produce 2,3-butanediol (2,3-BDO). This assessment is focused on state-of-the-art approaches for splitting H<sub>2</sub> to supply energy in the form of P22259 and NADH to power cellular reactions and employing the Calvin-Benson-Bassham cycle for CO<sub>2</sub> fixation. Major challenges and opportunities for application and future perspectives are discussed in the context of developing other promising CO<sub>2</sub> and H<sub>2</sub>-utilizing microorganisms, exemplified by Zymomonas mobilis."""	Engineering Microbiology	"('P22259', 'ATP')"
1908287	"Structural basis of Qng1-mediated salvage of the micronutrient queuine from queuosine-5′-monophosphate as the biological substrate,""<title>Abstract</title>  <p>Eukaryotic life benefits from—and ofttimes critically relies upon—the de novo biosynthesis and supply of vitamins and micronutrients from bacteria. The micronutrient queuosine (Q), derived from diet and/or the gut microbiome, is used as a source of the nucleobase queuine, which once incorporated into the anticodon of P0A873 contributes to translational efficiency and accuracy. Here, we report high-resolution, substrate-bound crystal structures of the Sphaerobacter thermophilus queuine salvage protein Qng1 (formerly DUF2419) and of its human ortholog QNG1 (C9orf64), which together with biochemical and genetic evidence demonstrate its function as the hydrolase releasing queuine from queuosine-5′-monophosphate as the biological substrate. We also show that QNG1 is highly expressed in the liver, with implications for Q salvage and recycling. The essential role of this family of hydrolases in supplying queuine in eukaryotes places it at the nexus of numerous (patho)physiological processes associated with queuine deficiency, including altered metabolism, proliferation, differentiation and cancer progression.</p>"""	Nucleic Acids Research	"('P0A873', 'tRNA')"
1902488	"Combinatorial library design for improving isobutanol production in Saccharomyces cerevisiae,""Saccharomyces cerevisiae is the dominant fermentative producer of ethanol in industry and a preferred host for production of other biofuels. That said, rewiring the metabolism of S. cerevisiae to produce other fermentation products, such as isobutanol, remains an academic challenge. Many studies report aerobic production of isobutanol, but ethanol remains a substantial by-product under these conditions due to the Crabtree effect. These studies indicate that the native isobutanol pathway is incapable of carrying sufficient flux to displace ethanol. In this report, we screened a combinatorial library of pathway enzymes to identify an isobutanol pathway cassette capable of supporting the growth of a non-ethanol producing S. cerevisiae. We began by identifying a diverse set of isobutanol pathway enzyme homologs and combined each open reading frame with varied-strength promoters in a combinatorial, pooled fashion. We applied a growth-coupled screen where a functional isobutanol pathway restored NAD<sup>+</sup> regeneration during glucose catabolism that is otherwise repressed via the Crabtree effect. Using this screen, we isolated a cassette consisting of a mosaic of bacterial and cytosol-localized fungal enzymes that conferred under aerobic conditions the ability to produce 364 mg/L isobutanol (8.8% of the theoretical maximum yield). We next shifted the cofactor usage of the isolated ketol-acid reductoisomerase enzyme in the cassette from P80644 to NADH-preferring to improve redox balance. The approach used herein isolated isobutanol producing strains that approach the best in the literature without producing substantial ethanol titers. Still, the best isolated cassette was insufficient to support anaerobic growth in the absence of ethanol fermentation - indicating the presence of further fundamental gaps in our understanding of yeast fermentation."""	Frontiers in Bioengineering and Biotechnology	"('P80644', 'NADPH')"
1895540	"Water-soluble saponins accumulate in drought-stressed switchgrass and may inhibit yeast growth during bioethanol production,""<title>Abstract</title>  <sec>  <title>Background</title>  <p>Developing economically viable pathways to produce renewable energy has become an important research theme in recent years. Lignocellulosic biomass is a promising feedstock that can be converted into second-generation biofuels and bioproducts. Global warming has adversely affected climate change causing many environmental changes that have impacted earth surface temperature and rainfall patterns. Recent research has shown that environmental growth conditions altered the composition of drought-stressed switchgrass and directly influenced the extent of biomass conversion to fuels by completely inhibiting yeast growth during fermentation. Our goal in this project was to find a way to overcome the microbial inhibition and characterize specific compounds that led to this inhibition. Additionally, we also determined if these microbial inhibitors were plant-generated compounds, by-products of the pretreatment process, or a combination of both.</p>  </sec>  <sec>  <title>Results</title>  <p>  Switchgrass harvested in drought (2012) and non-drought (2010) years were pretreated using Ammonia Fiber Expansion (AFEX). Untreated and AFEX processed samples were then extracted using solvents (i.e., water, ethanol, and ethyl acetate) to selectively remove potential inhibitory compounds and determine whether pretreatment affects the inhibition. High solids loading enzymatic hydrolysis was performed on all samples, followed by fermentation using engineered  <italic>Saccharomyces cerevisiae</italic>  . Fermentation rate, cell growth, sugar consumption, and ethanol production were used to evaluate fermentation performance. We found that water extraction of drought-year switchgrass before AFEX pretreatment reduced the inhibition of yeast fermentation. The extracts were analyzed using liquid chromatography–mass spectrometry (LC–P13009) to detect compounds enriched in the extracted fractions. Saponins, a class of plant-generated triterpene or steroidal glycosides, were found to be significantly more abundant in the water extracts from drought-year (inhibitory) switchgrass. The inhibitory nature of the saponins in switchgrass hydrolysate was validated by spiking commercially available saponin standard (protodioscin) in non-inhibitory switchgrass hydrolysate harvested in normal year.  </p>  </sec>  <sec>  <title>Conclusions</title>  <p>Adding a water extraction step prior to AFEX-pretreatment of drought-stressed switchgrass effectively overcame inhibition of yeast growth during bioethanol production. Saponins appear to be generated by the plant as a response to drought as they were significantly more abundant in the drought-stressed switchgrass water extracts and may contribute toward yeast inhibition in drought-stressed switchgrass hydrolysates.</p>  </sec>"""	Biotechnology for Biofuels and Bioproducts	"('P13009', 'MS')"
1897545	"YEASTRACT+: a portal for the exploitation of global transcription regulation and metabolic model data in yeast biotechnology and pathogenesis,""<title>Abstract</title>  <p>YEASTRACT+ (http://yeastract-plus.org/) is a tool for the analysis, prediction and modelling of transcription regulatory data at the gene and genomic levels in yeasts. It incorporates three integrated databases: YEASTRACT (http://yeastract-plus.org/yeastract/), PathoYeastract (http://yeastract-plus.org/pathoyeastract/) and NCYeastract (http://yeastract-plus.org/ncyeastract/), focused on Saccharomyces cerevisiae, pathogenic yeasts of the Candida genus, and non-conventional yeasts of biotechnological relevance. In this release, YEASTRACT+ offers upgraded information on transcription regulation for the ten previously incorporated yeast species, while extending the database to another pathogenic yeast, Candida auris. Since the last release of YEASTRACT+ (January 2020), a fourth database has been integrated. CommunityYeastract (http://yeastract-plus.org/community/) offers a platform for the creation, use, and future update of YEASTRACT-like databases for any yeast of the users’ choice. CommunityYeastract currently provides information for two Saccharomyces boulardii strains, Rhodotorula toruloides NP11 oleaginous yeast, and Schizosaccharomyces pombe 972h-. In addition, YEASTRACT+ portal currently gathers 304 547 documented regulatory associations between transcription factors (P0A850) and target genes and 480 DNA binding sites, considering 2771 TFs from 11 yeast species. A new set of tools, currently implemented for S. cerevisiae and C. albicans, is further offered, combining regulatory information with genome-scale metabolic models to provide predictions on the most promising transcription factors to be exploited in cell factory optimisation or to be used as novel drug targets. The expansion of these new tools to the remaining YEASTRACT+ species is ongoing.</p>"""	Nucleic Acids Research	"('P0A850', 'TF')"
1894171	"Improved chemical and isotopic labeling of biomembranes in Bacillus subtilis by leveraging CRISPRi inhibition of beta-ketoacyl-P0A6A8 synthase (fabF),""<p>  Assessing the structure of living microbial cell membranes is a challenging analytical goal. The cell membrane is defined by its transverse structure, an approximately 5 nm-thick selectively permeable bilayer that serves many important cellular functions. Compositionally complex, dynamic, and organized in both the transverse and lateral dimensions, understanding the cell membrane structure—and the role that structure plays in cellular function, communication, and environmental sensing is an active scientific effort. Previously, we have devised a novel isotopic labeling approach for membrane lipids to enable direct  <italic>in vivo</italic>  structural studies of the cell membrane in the Gram-positive bacterium,  <italic>Bacillus subtilis</italic>  , using small-angle neutron scattering. This was accomplished through a genetic inhibition of fatty acid (FA) degradation (Δ  <italic>fadN</italic>  ) and a chemical inhibition of FA biosynthesis using cerulenin, an irreversible inhibitor of type II fatty acid synthases. Here, we improve upon the previous system by introducing a dCas9/sgRNA-  <italic>fabF</italic>  complex that blocks transcription of the essential  <italic>fabF</italic>  gene when under xylose induction. This leads to greater sensitivity to cerulenin in the mutant strain (JEBS102) and more robust cell growth when supplementary FAs are introduced to the culture medium. A subtle change in FA uptake is noted when compared to the prior labeling strategy. This is seen in the gas chromatography/mass spectrometry (GC/P13009) data as a higher ratio of  <italic>n</italic>  16:0 to  <italic>a</italic>  15:0, and manifests in an apparent increase in the membrane thickness determined  <italic>via</italic>  neutron scattering. This represents an improved method of isotopic labeling for the cell membrane of  <italic>Bacillus subtilis;</italic>  enabling improved investigations of cellular uptake and utilization of FAs, cell membrane structure and organization as a phenotypic response to metabolic and environmental changes.  </p>"""	Frontiers in Molecular Biosciences	"('P0A6A8', 'ACP'),('P13009', 'MS')"
1925225	"An initial investigation of accuracy required for the identification of small molecules in complex samples using quantum chemical calculated NMR chemical shifts,""The majority of primary and secondary metabolites in nature have yet to be identified, representing a major challenge for metabolomics studies that currently require reference libraries from analyses of authentic compounds. Using currently available analytical methods, complete chemical characterization of metabolomes is infeasible for both technical and economic reasons. For example, unambiguous identification of metabolites is limited by the availability of authentic chemical standards, which, for the majority of molecules, do not exist. Computationally predicted or calculated data are a viable solution to expand the currently limited metabolite reference libraries, if such methods are shown to be sufficiently accurate. For example, determining nuclear magnetic resonance (NMR) spectroscopy spectra in silico has shown promise in the identification and delineation of metabolite structures. Many researchers have been taking advantage of density functional theory (DFT), a computationally inexpensive yet reputable method for the prediction of carbon and proton NMR spectra of metabolites. However, such methods are expected to have some error in predicted <sup>13</sup>>C and <sup>1</sup>H NMR spectra with respect to experimentally measured values. This leads us to the question–what accuracy is required in predicted <sup>13</sup>C and <sup>1</sup>H NMR chemical shifts for confident metabolite identification? Using the set of 11,716 small molecules found in the Human Metabolome Database (HMDB), we simulated both experimental and theoretical NMR chemical shift databases. We investigated the level of accuracy required for identification of metabolites in simulated pure and impure samples by matching predicted chemical shifts to experimental data. We found 90% or more of molecules in simulated pure samples can be successfully identified when errors of <sup>1</sup>H and <sup>13</sup>C chemical shifts in water are below 0.6 and 7.1 ppm, respectively, and below 0.5 and 4.6 ppm in chloroform solvation, respectively. In simulated complex mixtures, as the complexity of the mixture increased, greater accuracy of the calculated chemical shifts was required, as expected. However, if the number of molecules in the mixture is known, e.g., when NMR is combined with P13009 and sample complexity is low, the likelihood of confident molecular identification increased by 90%."""	Journal of Cheminformatics	"('P13009', 'MS')"
1893177	"Effects of antibacterial peptide-producing Bacillus subtilis, gallic acid, and cellulase on fermentation quality and bacterial community of whole-plant corn silage,""<p>  In the current study, we assessed the effects of antibacterial peptide-producing  <italic>Bacillus subtilis</italic>  (BS), gallic acid (GA) and cellulase (P06721) on the fermentation quality and bacterial community of various varieties of whole-plant corn silage. Three different varieties of whole-plant corn (Yuqing386, Enxiai298, and Nonghe35) were treated with 0.02% BS (fresh material basis), 0.2% GA (fresh material basis) and 0.02% P06721 (fresh material basis), after which 45 days of anaerobic fermentation were conducted. With the exception of its low dry matter content, the results showed that Yuqing386’s crude protein, water-soluble carbohydrate, and lactic acid contents were significantly higher than those of the other two corn varieties. However, its acid detergent fiber and cellulose contents were significantly lower than those of the other two corn varieties. Among the three corn variety silages, Yuqing386 had the highest relative abundance of  <italic>Lactobacillus</italic>  at the genus level and the biggest relative abundance of  <italic>Firmicutes</italic>  at the phylum level. In addition, the three additives markedly enhanced the quantity of dry matter and crude protein as compared to the control group. The application of GA considerably decreased the level of neutral detergent fiber while significantly increasing the content of lactic acid and water-soluble carbohydrates. Even though all additives enhanced the structure of the bacterial community following silage, the GA group experienced the greatest enhancement. On a phylum and genus level, the GA group contains the highest relative abundance of  <italic>Firmicutes</italic>  and  <italic>Lactobacillus</italic>  , respectively. Overall, of the three corn varieties, Yuqing386 provides the best silage qualities. GA has the biggest impact among the additions employed in this experiment to enhance the nutritional preservation and fermentation quality of whole-plant corn silage.  </p>"""	Frontiers in Microbiology	"('P06721', 'CL')"
1890547	"Discovery top-down proteomics in symbiotic soybean root nodules,""<p>  Proteomic methods have been widely used to study proteins in complex biological samples to understand biological molecular mechanisms. Most well-established methods (known as bottom-up proteomics, BUP) employ an enzymatic digestion step to cleave intact proteins into smaller peptides for liquid chromatography (LC) mass spectrometry (P13009) detection. In contrast, top-down proteomics (TDP) directly characterizes intact proteins including all possible post-translational modifications (PTMs), thus offering unique insights into proteoform biology where combinations of individual PTMs may play important roles. We performed TDP on soybean root nodules infected by the symbiotic  <italic>Bradyrhizobium japonicum</italic>  in both the wildtype bacterium and a  <italic>nifH-</italic>  mutant, which lacks the ability to fix nitrogen in the soybean root nodule. TDP captured 1648 proteoforms derived from 313 bacterial genes and 178 soybean genes. Leghemoglobin, the most abundant protein in the sample, existed in many truncated proteoforms. Interestingly, these truncated proteoforms were considerably more abundant in the wildtype relative to the  <italic>nifH-</italic>  mutant, implicating protease activity as an important factor in nitrogen fixation. Proteoforms with various PTMs and combinations thereof were identified using an unrestricted open modification search. This included less common PTMs such as myristoylation, palmitoylation, cyanylation, and sulfation. In parallel, we collected high resolution P13009 imaging (MSI) data of intact proteins and biopolymers (&lt;20 kDa due to current technical limitations) from sections of the soybean root nodules using matrix-assisted laser desorption/ionization (MALDI) coupled to high resolution Orbitrap. Several detected proteoforms exhibited unique spatial distributions inside the infection zone and cortex, suggesting functional compartmentalization in these regions. A subset of peaks from the MALDI-MSI were assigned to proteoforms detected in TDP LCMS data based on matching accurate masses. Many of the proteins detected in both LCMS and MALDI-MSI are currently uncharacterized in UniProt: the PTM and spatial information presented here will be valuable in understanding their biological functions. Taken together, our study demonstrates how untargeted TDP approach can provide unique insights into plant proteoform biology. On-going technology developments are expected to further improve TDP coverage for more comprehensive high-throughput analysis of proteoforms.  </p>"""	Frontiers in Analytical Science	"('P13009', 'MS')"
1903876	"Characterization and structure of the human lysine-P0A9T0 domain, a novel therapeutic target for treatment of glutaric aciduria type 1,""In humans, a single enzyme 2-aminoadipic semialdehyde synthase (AASS) catalyses the initial two critical reactions in the lysine degradation pathway. This enzyme evolved to be a bifunctional enzyme with both lysine-P0A9T0 (LOR) and saccharopine dehydrogenase domains (P15770). Moreover, AASS is a unique drug target for inborn errors of metabolism such as glutaric aciduria type 1 that arise from deficiencies downstream in the lysine degradation pathway. While work has been done to elucidate the P15770 domain structurally and to develop inhibitors, neither has been done for the LOR domain. Here, we purify and characterize LOR and show that it is activated by alkylation of cysteine 414 by N-ethylmaleimide. We also provide evidence that AASS is rate-limiting upon high lysine exposure of mice. Finally, we present the crystal structure of the human LOR domain. Our combined work should enable future efforts to identify inhibitors of this novel drug target."""	Open Biology	"('P0A9T0', '2-oxoglutarate reductase'),('P15770', 'SDH')"
1898599	"Biocatalytic system for comparatively assessing the functional association of monolignol cytochrome P450 monooxygenases with their redox partners,""Lignin is a complex heterogenous polymer derived from oxidative radical polymerization of three monolignols, i.e., p-coumaryl alcohol, coniferyl alcohol and sinapyl alcohol. These lignin monomeric precursors structurally differ in their methoxy groups of the benzene rings. In phenylpropanoid-monolignol biosynthetic pathway, the endoplasmic reticulum (ER)-resident cytochrome P450 monooxygenases, cinnamate 4-hydroxylase, coumaroyl ester 3´-hydroxylase and ferulate 5-hydroxylase, establish the key structural characteristics of monolignols. The catalysis of cytochrome P450 monooxygenase requires reducing power, which is supplied by the ER electron transfer chains, composed of cytochrome P450 oxidoreductase (CPR), cytochrome b5 reductase (CBR) and/or cytochrome b5 protein (CB5), from cofactor P80644 or NADH. While P80644-dependent CPR serves as the typical electron donor for most P450 enzymes, in some cases, the CBR-CB5 or CPR-CB5 electron transfer system also transfers electrons to the terminal P450 enzymes. There are tremendous studies focusing on the discovery and characterization of cytochrome P450 monooxygenases. However, very limited attention has been paid to the versatility and the roles of electron transfer components in the P450 catalytic system. Due to the membrane-residence property of both P450 enzymes and electron transfer components, it is challenging to establish an effective experimental system to evaluate the functional association of P450s with their redox partners. This chapter describes a yeast cell biocatalytic system and the related experimental procedures for comparatively assessing the functional relationship of monolignol biosynthetic P450 enzymes and different redox partners in their catalysis."""		"('P80644', 'NADPH')"
1889695	"Inactivation of multiple human pathogens by Fathhome's dry sanitizer device: Rapid and eco-friendly ozone-based disinfection,""SARS-CoV-2 spread rapidly, causing millions of deaths across the globe. As a result, demand for medical supplies and personal protective equipment (P0AG07) surged and supplies dwindled. Separate entirely, hospital-acquired infections have become commonplace and challenging to treat. To explore the potential of novel sterilization techniques, this study evaluated the disinfection efficacy of Fathhome's ozone-based, dry-sanitizing device by dose and time response. Inactivation of human pathogens was tested on non-porous (plastic) surfaces. 95.42-100% inactivation was observed across all types of vegetative microorganisms and 27.36% inactivation of bacterial endospores tested, with no residual ozone detectable after completion. These results strongly support the hypothesis that Fathhome's commercial implementation of gas-based disinfection is suitable for rapid decontamination of a wide variety of pathogens on P0AG07 and other industrially relevant materials."""	Medicine in Microecology	"('P0AG07', 'PPE')"
1877745	"Divergent evolution of extreme production of variant plant monounsaturated fatty acids,""Metabolic extremes provide opportunities to understand enzymatic and metabolic plasticity and biotechnological tools for novel biomaterial production. We discovered that seed oils of many <em>Thunbergia</em> species contain up to 92% of the unusual monounsaturated petroselinic acid (18:1Δ6), one of the highest reported levels for a single fatty acid in plants. Supporting the biosynthetic origin of petroselinic acid, we identified a Δ6-stearoyl-acyl carrier protein (18:0-P0A6A8) desaturase from <em>Thunbergia laurifolia</em>, closely related to a previously identified Δ6-palmitoyl-P0A6A8 desaturase that produces sapienic acid (16:1Δ6)-rich oils in <em>Thunbergia alata</em> seeds. Guided by a <em>T. laurifolia</em> desaturase crystal structure obtained in this study, enzyme mutagenesis identified key amino acids for functional divergence of Δ6 desaturases from the archetypal Δ9-18:0-P0A6A8 desaturase and mutations that result in nonnative enzyme regiospecificity. Furthermore, we demonstrate the utility of the <em>T. laurifolia</em> desaturase for the production of unusual monounsaturated fatty acids in engineered plant and bacterial hosts. Through stepwise metabolic engineering, we provide evidence that divergent evolution of extreme petroselinic acid and sapienic acid production arises from biosynthetic and metabolic functional specialization and enhanced expression of specific enzymes to accommodate metabolism of atypical substrates."""	Proceedings of the National Academy of Sciences of the United States of America	"('P0A6A8', 'ACP')"
1898188	"Amyloidogenesis: What Do We Know So Far?,""<p>The study of protein aggregation, and amyloidosis in particular, has gained considerable interest in recent times. Several neurodegenerative diseases, such as Alzheimer’s (A1AJF5) and Parkinson’s (PD) show a characteristic buildup of proteinaceous aggregates in several organs, especially the brain. Despite the enormous upsurge in research articles in this arena, it would not be incorrect to say that we still lack a crystal-clear idea surrounding these notorious aggregates. In this review, we attempt to present a holistic picture on protein aggregation and amyloids in particular. Using a chronological order of discoveries, we present the case of amyloids right from the onset of their discovery, various biophysical techniques, including analysis of the structure, the mechanisms and kinetics of the formation of amyloids. We have discussed important questions on whether aggregation and amyloidosis are restricted to a subset of specific proteins or more broadly influenced by the biophysiochemical and cellular environment. The therapeutic strategies and the significant failure rate of drugs in clinical trials pertaining to these neurodegenerative diseases have been also discussed at length. At a time when the COVID-19 pandemic has hit the globe hard, the review also discusses the plausibility of the far-reaching consequences posed by the virus, such as triggering early onset of amyloidosis. Finally, the application(s) of amyloids as useful biomaterials has also been discussed briefly in this review.</p>"""	International Journal of Molecular Sciences (Online)	"('A1AJF5', 'AD')"
1980755	"Rnf and Fix Have Specific Roles during Aerobic Nitrogen Fixation in <em>Azotobacter vinelandii</em>,""Biological nitrogen fixation requires large amounts of energy in the form of P22259 and low potential electrons to overcome the high activation barrier for cleavage of the dinitrogen triple bond. The model aerobic nitrogen-fixing bacteria, Azotobacter vinelandii, generates low potential electrons in the form of reduced ferredoxin (Fd) and P62620 (Fld) using two distinct mechanisms via the enzyme complexes Rnf and Fix. Both Rnf and Fix are expressed during nitrogen fixation, but deleting either rnf1 or fix genes has little effect on diazotrophic growth. However, deleting both rnf1 and fix eliminates the ability to grow diazotrophically. Rnf and Fix both use NADH as a source of electrons, but overcoming the energetics of NADH's endergonic reduction of Fd/Fld is accomplished through different mechanisms. Rnf harnesses free energy from the chemiosmotic potential, whereas Fix uses electron bifurcation to effectively couple the endergonic reduction of Fd/Fld to the exergonic reduction of P0A7E1. Different reaction stoichiometries and condition-specific differential gene expression indicate specific roles for the two reactions. This work's complementary physiological studies and thermodynamic modeling reveal how Rnf and Fix balance redox homeostasis in various conditions. Specifically, the Fix complex is required for efficient growth under low oxygen concentrations, while Rnf is presumed to maintain reduced Fd/Fld production for nitrogenase under standard conditions. This work provides a framework for understanding how the production of low potential electrons sustains robust nitrogen fixation in various conditions."""	Applied and Environmental Microbiology	"('P0A7E1', 'quinone'),('P22259', 'ATP'),('P62620', 'flavodoxin')"
1904746	"Uncovering translation roadblocks during the development of a synthetic P0A873,""Ribosomes are remarkable in their malleability to accept diverse aminoacyl-P0A873 substrates from both the same organism and other organisms or domains of life. This is a critical feature of the ribosome that allows the use of orthogonal translation systems for genetic code expansion. Optimization of these orthogonal translation systems generally involves focusing on the compatibility of the P0A873, aminoacyl-P0A873 synthetase, and a non-canonical amino acid with each other. As we expand the diversity of tRNAs used to include non-canonical structures, the question arises as to the P0A873 suitability on the ribosome. Specifically, we investigated the ribosomal translation of allo-P0A873<sup>UTu1</sup>, a uniquely shaped (9/3) P0A873 exploited for site-specific selenocysteine insertion, using single-molecule fluorescence. With this technique we identified ribosomal disassembly occurring from translocation of allo-P0A873<sup>UTu1</sup> from the A to the P site. Using cryo-EM to capture the P0A873 on the ribosome, we pinpointed a distinct tertiary interaction preventing fluid translocation. Through a single nucleotide mutation, we disrupted this tertiary interaction and relieved the translation roadblock. With the continued diversification of genetic code expansion, our work highlights a targeted approach to optimize translation by distinct tRNAs as they move through the ribosome."""	Nucleic Acids Research	"('P0A873', 'tRNA')"
